1400.0000 -1159.346612 1400
1380.0000 -1148.187116 1380
1360.0000 -1135.893531 1360
1340.0000 -1122.377158 1340
1320.0000 -1108.173943 1320
1300.0000 -1092.028954 1300
1280.0000 -1074.383138 1280
1260.0000 -1055.143051 1260
1240.0000 -1034.142708 1240
1220.0000 -1011.239861 1220
1200.0000 -986.357711 1200
1180.0000 -959.361422 1180
1160.0000 -930.036261 1160
1140.0000 -898.165861 1140
1120.0000 -863.707946 1120
1100.0000 -826.314021 1100
1080.0000 -785.882746 1080
1060.0000 -742.175028 1060
1040.0000 -694.870120 1040
1020.0000 -643.634793 1020
1000.0000 -588.342309 1000
