1400.0000 -978.200846 97 -12.0014 1400
1380.0000 -971.941489 43 -36.6411 1380
1360.0000 -979.104940 209 -16.1377 1360
1340.0000 -978.985775 223 -5.9567 1340
1320.0000 -977.483077 157 20.0137 1320
1300.0000 -981.379698 260 -4.3665 1300
1280.0000 -977.145439 122 18.0195 1280
1260.0000 -983.016783 67 15.4310 1260
1240.0000 -982.764011 68 19.1478 1240
1220.0000 -981.694495 267 -20.2539 1220
1200.0000 -981.636159 151 -5.8731 1200
1180.0000 -981.159072 78 -10.9190 1180
1160.0000 -978.746732 51 32.0649 1160
1140.0000 -977.636633 130 -30.1244 1140
1120.0000 -975.782343 107 -11.9878 1120
1100.0000 -972.829807 148 31.8245 1100
1080.0000 -971.622277 66 2.0058 1080
1060.0000 -969.191793 164 1.9988 1060
1040.0000 -965.940498 108 -11.4003 1040
1020.0000 -962.378163 99 8.3660 1020
1000.0000 -958.815913 85 10.2823 1000
